GO.ID	Term	n
GO:0000027	ribosomal large subunit assembly	11
GO:0000054	ribosomal subunit export from nucleus	2
GO:0000070	mitotic sister chromatid segregation	5
GO:0000082	G1/S transition of mitotic cell cycle	2
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	15
GO:0000086	G2/M transition of mitotic cell cycle	5
GO:0000154	rRNA modification	1
GO:0000209	protein polyubiquitination	22
GO:0000244	spliceosomal tri-snRNP complex assembly	3
GO:0000387	spliceosomal snRNP assembly	22
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5
GO:0000470	maturation of LSU-rRNA	7
GO:0000722	telomere maintenance via recombination	16
GO:0000724	double-strand break repair via homologous recombination	5
GO:0001731	formation of translation preinitiation complex	4
GO:0001833	inner cell mass cell proliferation	14
GO:0002181	cytoplasmic translation	18
GO:0006260	DNA replication	2
GO:0006261	DNA-dependent DNA replication	1
GO:0006270	DNA replication initiation	11
GO:0006271	DNA strand elongation involved in DNA replication	14
GO:0006281	DNA repair	1
GO:0006283	transcription-coupled nucleotide-excision repair	22
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion	8
GO:0006297	nucleotide-excision repair, DNA gap filling	14
GO:0006353	DNA-templated transcription, termination	1
GO:0006361	transcription initiation from RNA polymerase I promoter	15
GO:0006362	transcription elongation from RNA polymerase I promoter	16
GO:0006363	termination of RNA polymerase I transcription	16
GO:0006367	transcription initiation from RNA polymerase II promoter	2
GO:0006368	transcription elongation from RNA polymerase II promoter	16
GO:0006369	termination of RNA polymerase II transcription	18
GO:0006370	7-methylguanosine mRNA capping	22
GO:0006376	mRNA splice site selection	6
GO:0006378	mRNA polyadenylation	2
GO:0006379	mRNA cleavage	3
GO:0006383	transcription from RNA polymerase III promoter	19
GO:0006406	mRNA export from nucleus	8
GO:0006417	regulation of translation	1
GO:0006418	tRNA aminoacylation for protein translation	19
GO:0006446	regulation of translational initiation	5
GO:0006450	regulation of translational fidelity	1
GO:0006888	ER to Golgi vesicle-mediated transport	3
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	3
GO:0006891	intra-Golgi vesicle-mediated transport	2
GO:0007052	mitotic spindle organization	10
GO:0007062	sister chromatid cohesion	19
GO:0007077	mitotic nuclear envelope disassembly	1
GO:0007080	mitotic metaphase plate congression	3
GO:0007093	mitotic cell cycle checkpoint	3
GO:0007346	regulation of mitotic cell cycle	1
GO:0008033	tRNA processing	1
GO:0008334	histone mRNA metabolic process	15
GO:0008380	RNA splicing	1
GO:0008543	fibroblast growth factor receptor signaling pathway	1
GO:0009263	deoxyribonucleotide biosynthetic process	15
GO:0010501	RNA secondary structure unwinding	1
GO:0015949	nucleobase-containing small molecule interconversion	4
GO:0015991	ATP hydrolysis coupled proton transport	10
GO:0016032	viral process	20
GO:0016180	snRNA processing	1
GO:0016925	protein sumoylation	7
GO:0019081	viral translation	3
GO:0022618	ribonucleoprotein complex assembly	4
GO:0030071	regulation of mitotic metaphase/anaphase transition	5
GO:0030261	chromosome condensation	1
GO:0031047	gene silencing by RNA	8
GO:0031124	mRNA 3'-end processing	8
GO:0031572	G2 DNA damage checkpoint	1
GO:0032481	positive regulation of type I interferon production	16
GO:0032508	DNA duplex unwinding	14
GO:0033120	positive regulation of RNA splicing	4
GO:0033260	nuclear DNA replication	17
GO:0033572	transferrin transport	8
GO:0034605	cellular response to heat	1
GO:0034644	cellular response to UV	7
GO:0040001	establishment of mitotic spindle localization	3
GO:0042255	ribosome assembly	10
GO:0042273	ribosomal large subunit biogenesis	3
GO:0042276	error-prone translesion synthesis	18
GO:0042769	DNA damage response, detection of DNA damage	14
GO:0042795	snRNA transcription from RNA polymerase II promoter	22
GO:0043484	regulation of RNA splicing	1
GO:0043488	regulation of mRNA stability	22
GO:0043628	ncRNA 3'-end processing	1
GO:0043968	histone H2A acetylation	2
GO:0044772	mitotic cell cycle phase transition	1
GO:0045292	mRNA cis splicing, via spliceosome	5
GO:0048024	regulation of mRNA splicing, via spliceosome	10
GO:0048026	positive regulation of mRNA splicing, via spliceosome	1
GO:0050434	positive regulation of viral transcription	15
GO:0050684	regulation of mRNA processing	2
GO:0050685	positive regulation of mRNA processing	1
GO:0051170	nuclear import	11
GO:0051225	spindle assembly	1
GO:0051297	centrosome organization	2
GO:0051301	cell division	22
GO:0070979	protein K11-linked ubiquitination	2
GO:0070987	error-free translesion synthesis	17
GO:0072594	establishment of protein localization to organelle	1
GO:0075733	intracellular transport of virus	2
GO:0090090	negative regulation of canonical Wnt signaling pathway	21
GO:0090307	mitotic spindle assembly	6
GO:0090329	regulation of DNA-dependent DNA replication	1
GO:0090383	phagosome acidification	6
GO:0097421	liver regeneration	2
GO:1901796	regulation of signal transduction by p53 class mediator	1
GO:1901992	positive regulation of mitotic cell cycle phase transition	1
GO:1901998	toxin transport	5
GO:1903955	positive regulation of protein targeting to mitochondrion	2
GO:1904874	positive regulation of telomerase RNA localization to Cajal body	17
GO:2000573	positive regulation of DNA biosynthetic process	6
GO:2001252	positive regulation of chromosome organization	1
