GO.ID	Term	n
GO:0000022	mitotic spindle elongation	14
GO:0000028	ribosomal small subunit assembly	14
GO:0000054	ribosomal subunit export from nucleus	21
GO:0000055	ribosomal large subunit export from nucleus	19
GO:0000056	ribosomal small subunit export from nucleus	6
GO:0000076	DNA replication checkpoint	10
GO:0000077	DNA damage checkpoint	6
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	22
GO:0000154	rRNA modification	18
GO:0000212	meiotic spindle organization	9
GO:0000244	spliceosomal tri-snRNP complex assembly	16
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	16
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	16
GO:0000338	protein deneddylation	11
GO:0000380	alternative mRNA splicing, via spliceosome	6
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	1
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2
GO:0000459	exonucleolytic trimming involved in rRNA processing	1
GO:0000460	maturation of 5.8S rRNA	23
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	19
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	20
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
GO:0000469	cleavage involved in rRNA processing	22
GO:0000478	endonucleolytic cleavage involved in rRNA processing	20
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	20
GO:0000715	nucleotide-excision repair, DNA damage recognition	13
GO:0000724	double-strand break repair via homologous recombination	16
GO:0000725	recombinational repair	15
GO:0000959	mitochondrial RNA metabolic process	1
GO:0001682	tRNA 5'-leader removal	4
GO:0001824	blastocyst development	21
GO:0001832	blastocyst growth	16
GO:0001833	inner cell mass cell proliferation	16
GO:0002183	cytoplasmic translational initiation	7
GO:0002190	cap-independent translational initiation	1
GO:0002192	IRES-dependent translational initiation	1
GO:0002429	immune response-activating cell surface receptor signaling pathway	18
GO:0002768	immune response-regulating cell surface receptor signaling pathway	9
GO:0006119	oxidative phosphorylation	1
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	2
GO:0006268	DNA unwinding involved in DNA replication	14
GO:0006271	DNA strand elongation involved in DNA replication	23
GO:0006275	regulation of DNA replication	8
GO:0006278	RNA-dependent DNA biosynthetic process	13
GO:0006284	base-excision repair	1
GO:0006294	nucleotide-excision repair, preincision complex assembly	12
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion	21
GO:0006302	double-strand break repair	1
GO:0006323	DNA packaging	6
GO:0006356	regulation of transcription from RNA polymerase I promoter	2
GO:0006360	transcription from RNA polymerase I promoter	23
GO:0006366	transcription from RNA polymerase II promoter	5
GO:0006367	transcription initiation from RNA polymerase II promoter	22
GO:0006368	transcription elongation from RNA polymerase II promoter	23
GO:0006376	mRNA splice site selection	22
GO:0006378	mRNA polyadenylation	23
GO:0006379	mRNA cleavage	22
GO:0006384	transcription initiation from RNA polymerase III promoter	5
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	1
GO:0006409	tRNA export from nucleus	17
GO:0006414	translational elongation	3
GO:0006415	translational termination	3
GO:0006417	regulation of translation	23
GO:0006448	regulation of translational elongation	12
GO:0006450	regulation of translational fidelity	12
GO:0006457	protein folding	8
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	4
GO:0006490	oligosaccharide-lipid intermediate biosynthetic process	4
GO:0006511	ubiquitin-dependent protein catabolic process	23
GO:0006606	protein import into nucleus	10
GO:0006626	protein targeting to mitochondrion	9
GO:0006734	NADH metabolic process	1
GO:0006735	NADH regeneration	1
GO:0006810	transport	10
GO:0006826	iron ion transport	4
GO:0006888	ER to Golgi vesicle-mediated transport	16
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	12
GO:0006891	intra-Golgi vesicle-mediated transport	9
GO:0006900	membrane budding	1
GO:0006997	nucleus organization	23
GO:0006998	nuclear envelope organization	18
GO:0006999	nuclear pore organization	6
GO:0007000	nucleolus organization	16
GO:0007004	telomere maintenance via telomerase	13
GO:0007005	mitochondrion organization	2
GO:0007017	microtubule-based process	12
GO:0007021	tubulin complex assembly	12
GO:0007076	mitotic chromosome condensation	3
GO:0007077	mitotic nuclear envelope disassembly	11
GO:0007080	mitotic metaphase plate congression	7
GO:0007088	regulation of mitotic nuclear division	23
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	22
GO:0007093	mitotic cell cycle checkpoint	19
GO:0007094	mitotic spindle assembly checkpoint	3
GO:0007098	centrosome cycle	5
GO:0007126	meiotic nuclear division	2
GO:0008033	tRNA processing	16
GO:0008299	isoprenoid biosynthetic process	2
GO:0008334	histone mRNA metabolic process	21
GO:0008543	fibroblast growth factor receptor signaling pathway	10
GO:0008608	attachment of spindle microtubules to kinetochore	8
GO:0009123	nucleoside monophosphate metabolic process	1
GO:0009186	deoxyribonucleoside diphosphate metabolic process	4
