#SOURCE	#TARGET	#LINK
Lung Cancer	Pancreatic Cancer	87
Pancreatic Cancer	Pancreatic Cancer	63
Lung Cancer	Lung Cancer	37
Leukemia	Leukemia	32
Lung Cancer	Ovarian Cancer	31
Ovarian Cancer	Brain Cancer	25
Ovarian Cancer	Ovarian Cancer	22
Pancreatic Cancer	Neuroblastoma	18
Ovarian Cancer	Pancreatic Cancer	13
Ovarian Cancer	Endometrial/Uterine Cancer	13
Neuroblastoma	Neuroblastoma	13
Bladder Cancer	Ovarian Cancer	12
Colon/Colorectal Cancer	Pancreatic Cancer	11
Lung Cancer	Neuroblastoma	11
Ovarian Cancer	Breast Cancer	11
Skin Cancer	Skin Cancer	11
Ovarian Cancer	Sarcoma	10
Head and Neck Cancer	Head and Neck Cancer	10
Ovarian Cancer	Bone Cancer	9
Ovarian Cancer	Skin Cancer	8
Ovarian Cancer	Neuroblastoma	8
Pancreatic Cancer	Brain Cancer	8
Brain Cancer	Brain Cancer	8
Head and Neck Cancer	Esophageal Cancer	8
Colon/Colorectal Cancer	Lung Cancer	7
Lung Cancer	Breast Cancer	7
Ovarian Cancer	Esophageal Cancer	7
Breast Cancer	Pancreatic Cancer	7
Lymphoma	Lymphoma	7
Colon/Colorectal Cancer	Ovarian Cancer	6
Ovarian Cancer	Rhabdoid	6
Ovarian Cancer	Liver Cancer	6
Skin Cancer	Brain Cancer	6
Kidney Cancer	Kidney Cancer	6
Esophageal Cancer	Esophageal Cancer	6
Leukemia	Pancreatic Cancer	5
Leukemia	Lymphoma	5
Lung Cancer	Esophageal Cancer	5
Ovarian Cancer	Kidney Cancer	5
Skin Cancer	Head and Neck Cancer	5
Ovarian Cancer	Gastric Cancer	4
Pancreatic Cancer	Sarcoma	4
Pancreatic Cancer	Rhabdoid	4
Pancreatic Cancer	Kidney Cancer	4
Pancreatic Cancer	Endometrial/Uterine Cancer	4
Pancreatic Cancer	Esophageal Cancer	4
Rhabdoid	Esophageal Cancer	4
Leukemia	Lung Cancer	3
Lung Cancer	Cervical Cancer	3
Skin Cancer	Pancreatic Cancer	3
Skin Cancer	Esophageal Cancer	3
Breast Cancer	Breast Cancer	3
Pancreatic Cancer	Gastric Cancer	3
Brain Cancer	Endometrial/Uterine Cancer	3
Brain Cancer	Eye Cancer	3
Sarcoma	Sarcoma	3
Bone Cancer	Bone Cancer	3
Rhabdoid	Head and Neck Cancer	3
Leukemia	Neuroblastoma	2
Leukemia	Kidney Cancer	2
Colon/Colorectal Cancer	Neuroblastoma	2
Bladder Cancer	Skin Cancer	2
Bladder Cancer	Breast Cancer	2
Bladder Cancer	Pancreatic Cancer	2
Lung Cancer	Liver Cancer	2
Ovarian Cancer	Head and Neck Cancer	2
Ovarian Cancer	Cervical Cancer	2
Ovarian Cancer	Eye Cancer	2
Breast Cancer	Brain Cancer	2
Breast Cancer	Eye Cancer	2
Pancreatic Cancer	Lymphoma	2
Pancreatic Cancer	Cervical Cancer	2
Pancreatic Cancer	Eye Cancer	2
Brain Cancer	Bone Cancer	2
Brain Cancer	Head and Neck Cancer	2
Brain Cancer	Liver Cancer	2
Brain Cancer	Esophageal Cancer	2
Leukemia	Breast Cancer	1
Leukemia	Myeloma	1
Leukemia	Esophageal Cancer	1
Colon/Colorectal Cancer	Colon/Colorectal Cancer	1
Colon/Colorectal Cancer	Breast Cancer	1
Colon/Colorectal Cancer	Kidney Cancer	1
Colon/Colorectal Cancer	Endometrial/Uterine Cancer	1
Colon/Colorectal Cancer	Eye Cancer	1
Bladder Cancer	Lung Cancer	1
Bladder Cancer	Brain Cancer	1
Bladder Cancer	Head and Neck Cancer	1
Bladder Cancer	Eye Cancer	1
Lung Cancer	Brain Cancer	1
Lung Cancer	Sarcoma	1
Lung Cancer	Bone Cancer	1
Lung Cancer	Kidney Cancer	1
Lung Cancer	Eye Cancer	1
Ovarian Cancer	Lymphoma	1
Ovarian Cancer	Fibroblast	1
Skin Cancer	Breast Cancer	1
Skin Cancer	Sarcoma	1
Skin Cancer	Bone Cancer	1
Skin Cancer	Lymphoma	1
Skin Cancer	Rhabdoid	1
Skin Cancer	Eye Cancer	1
Breast Cancer	Lymphoma	1
Breast Cancer	Neuroblastoma	1
Breast Cancer	Rhabdoid	1
Breast Cancer	Head and Neck Cancer	1
Breast Cancer	Endometrial/Uterine Cancer	1
Breast Cancer	Esophageal Cancer	1
Breast Cancer	Cervical Cancer	1
Pancreatic Cancer	Liver Cancer	1
Pancreatic Cancer	NA	1
Brain Cancer	Sarcoma	1
Brain Cancer	Neuroblastoma	1
Brain Cancer	Bile Duct Cancer	1
Sarcoma	Bone Cancer	1
Sarcoma	Rhabdoid	1
Sarcoma	Kidney Cancer	1
Sarcoma	Head and Neck Cancer	1
Sarcoma	Esophageal Cancer	1
Bone Cancer	Kidney Cancer	1
Gastric Cancer	Gastric Cancer	1
Gastric Cancer	Liver Cancer	1
Gastric Cancer	Endometrial/Uterine Cancer	1
Lymphoma	Rhabdoid	1
Lymphoma	Head and Neck Cancer	1
Liver Cancer	Liver Cancer	1
Liver Cancer	Esophageal Cancer	1
Endometrial/Uterine Cancer	Endometrial/Uterine Cancer	1
Endometrial/Uterine Cancer	Esophageal Cancer	1
Cervical Cancer	Eye Cancer	1
