,ACH-000004,ACH-000005,ACH-000045,ACH-000070,ACH-000782,ACH-000938,ACH-000113,ACH-000146,ACH-000960,ACH-000168,ACH-000183,ACH-000198,ACH-000263,ACH-000294,ACH-000295,ACH-000326,ACH-000336,ACH-000937,ACH-000362,ACH-000363,ACH-000387,ACH-000406,ACH-000487,ACH-000498,ACH-000557,ACH-000604,ACH-000770,ACH-000953,ACH-000983,ACH-001737,ACH-001735,ACH-001736,ACH-000151
ACH-000004,1.0,0.6292607265670112,0.6691485791517103,0.63491961510646,0.6598968850211189,0.6729700268280135,0.6954004676273092,0.6968503881859607,0.6951042915445529,0.6402354836479449,0.6769022643095166,0.7012648983046202,0.5773527302718012,0.6320710192476288,0.6016712299590696,0.6927431242522369,0.564879639891081,0.6933641731438719,0.6933827909457967,0.6738667995584614,0.7212065287135021,0.7352125625578229,0.7078841328046316,0.44048401984122815,0.6311096579878974,0.5854130409141245,0.7158797289576243,0.6563209325653545,0.6969524083657469,0.4905099827091241,0.7127239836653649,0.6801778505203054,0.5888091988605467
ACH-000005,0.6292607265670112,1.0,0.6239299007013549,0.5985880979136181,0.6138711522229894,0.6237662246372725,0.6409699419843877,0.6341091301783032,0.6528601808032938,0.5859053691647772,0.6215181849208967,0.6497345213972218,0.540255323163114,0.5701765700722436,0.5595704753847569,0.6358915885207853,0.5368995520321929,0.6584488447347172,0.629174311528571,0.6313779294636122,0.6422930874703744,0.664532082373872,0.6348203274866397,0.4056535793090571,0.585319541118346,0.5478251196933375,0.6593303056363007,0.6318933534719886,0.6419451331666471,0.46863734371385385,0.6591528704237968,0.6401372573086043,0.5725199168165255
ACH-000045,0.6691485791517103,0.6239299007013549,1.0,0.6748404616594507,0.7008023703919991,0.7107766193742812,0.7734659447274147,0.7539650043755347,0.747489391844442,0.6972445576775332,0.709411748369444,0.7776137072457818,0.6189939857034203,0.6805767841296874,0.65136871810614,0.7252498149648815,0.6183091388951804,0.7416775962704707,0.7826035600712287,0.7163418446066986,0.7288787240988125,0.7834410315621062,0.7312094463925032,0.4722559226553467,0.6869013833355139,0.61866370805014,0.7746764763728999,0.7114094043036714,0.7388832459032288,0.5219431781174249,0.7715189956897887,0.7336446575354167,0.636959651251412
ACH-000070,0.63491961510646,0.5985880979136181,0.6748404616594507,1.0,0.6816699058267521,0.7440277433909691,0.7119380003636696,0.6854678880537574,0.755249105579241,0.6359989564319912,0.6845323070371736,0.713698067401972,0.5807415086537787,0.5983586190235038,0.6123315342523478,0.6920264760083431,0.5938260479384684,0.7393648063583977,0.6714998966231248,0.6950257252544711,0.6868275452515101,0.7227941318399355,0.699916999278384,0.43381760465422325,0.6446704430804544,0.5936038027000449,0.7048051894409592,0.7051647507850367,0.7116160282540815,0.49987287363726013,0.7172862734143199,0.7339727931358709,0.6295038812078916
ACH-000782,0.6598968850211189,0.6138711522229894,0.7008023703919991,0.6816699058267521,1.0,0.7157583233676263,0.7119356275358458,0.6995160355009342,0.742294050431676,0.6471326133786377,0.6900912345918321,0.7235935825855542,0.6049611413233603,0.6161762387540091,0.6267026900638744,0.6959495702138714,0.5947655248716284,0.7547677354482399,0.6799820962994442,0.7012367266292195,0.691892490449329,0.73164925277644,0.7170049192663001,0.4477600215804511,0.6545084124267034,0.5938016413179871,0.7205701415491584,0.7091034556898682,0.7199141242732814,0.5099771269704121,0.7803988567792524,0.7268444725488317,0.6303118193322266
ACH-000938,0.6729700268280135,0.6237662246372725,0.7107766193742812,0.7440277433909691,0.7157583233676263,1.0,0.7431974735086241,0.7283108769471905,0.802390781563769,0.6668635440387302,0.7103188145662027,0.7559908793340926,0.6132261922937323,0.6301039867537059,0.6416265275512867,0.7252714950868454,0.6149252451096335,0.7856725114593212,0.7096817321864003,0.7292135338699,0.7220130873510517,0.7651868697825986,0.7496382524241787,0.46041291556139785,0.694520980547857,0.6189360717343277,0.7458088598504563,0.7521630744345772,0.7469927972011793,0.5218060863758829,0.7618250420602953,0.7745423686075891,0.6586020115406857
ACH-000113,0.6954004676273092,0.6409699419843877,0.7734659447274147,0.7119380003636696,0.7119356275358458,0.7431974735086241,1.0,0.7717583636177718,0.7732964643817203,0.7116976707915096,0.7360405109730229,0.7993010138412291,0.6223700967685571,0.6750304162692509,0.6718598335441142,0.7541068763974059,0.6509299856465056,0.7615142139715759,0.7844714130597057,0.7405457334531302,0.7587684109509991,0.8154615834248049,0.764027943219185,0.4758883802292928,0.6899912241063412,0.6412538637520928,0.8052824225735257,0.732305581051464,0.7689364385114441,0.5342264393164334,0.7862970005141096,0.7537388837349617,0.666783482064824
ACH-000146,0.6968503881859607,0.6341091301783032,0.7539650043755347,0.6854678880537574,0.6995160355009342,0.7283108769471905,0.7717583636177718,1.0,0.7671018673856718,0.7119522806959366,0.7302952078970409,0.7725240493559207,0.6270212222300174,0.721734152681224,0.6567691842433665,0.748492142365196,0.6206643851864073,0.7568718575958706,0.8020419125722904,0.746244505412369,0.7805337731947708,0.8394672834124018,0.7482839872697191,0.46439632508512735,0.7018493204052667,0.6359470795313997,0.819868310476538,0.7232255164041925,0.7650293534556148,0.5367284858908323,0.7860667158055168,0.7378416710540343,0.6512695309520872
ACH-000960,0.6951042915445529,0.6528601808032938,0.747489391844442,0.755249105579241,0.742294050431676,0.802390781563769,0.7732964643817203,0.7671018673856718,1.0,0.6974356629338754,0.7317576024671945,0.7840974671949328,0.643550437321296,0.6653218712976069,0.6661998696329285,0.7441852432383012,0.6347431874083271,0.8269114085830236,0.7513406760667906,0.7583605995739272,0.7464790871107918,0.7899267161665726,0.764259890701349,0.4737406231963342,0.7118908800291273,0.6359944766792446,0.7925598659846492,0.789754086914752,0.7685763832520199,0.5590426499766278,0.8048005506394622,0.8021265141574646,0.6854449891481229
ACH-000168,0.6402354836479449,0.5859053691647772,0.6972445576775332,0.6359989564319912,0.6471326133786377,0.6668635440387302,0.7116976707915096,0.7119522806959366,0.6974356629338754,1.0,0.6650511528743457,0.7143539103150335,0.5817721847534454,0.6412395895781811,0.6088681942432589,0.673984704139367,0.5802244625040509,0.6984599129471994,0.7221694985722815,0.6801390671383555,0.70014073261852,0.7419539160369569,0.6949227611307262,0.45853671588445816,0.6527961358447991,0.5795809150817555,0.7370293674302503,0.6618868434568604,0.6952325879131015,0.4986976859803574,0.7239967553626749,0.6805634059257399,0.6004842652434844
