,ACH-000012,ACH-000015,ACH-000021,ACH-000030,ACH-000035,ACH-000086,ACH-000092,ACH-000150,ACH-000153,ACH-000187,ACH-000706,ACH-000257,ACH-000261,ACH-000264,ACH-000861,ACH-000290,ACH-000292,ACH-000311,ACH-000319,ACH-000331,ACH-000335,ACH-000378,ACH-000390,ACH-000395,ACH-000414,ACH-000416,ACH-000434,ACH-000444,ACH-000448,ACH-000454,ACH-000463,ACH-000481,ACH-000496,ACH-000510,ACH-000511,ACH-000521,ACH-000528,ACH-000585,ACH-000589,ACH-000596,ACH-000627,ACH-000638,ACH-000639,ACH-000648,ACH-000662,ACH-000665,ACH-000677,ACH-000681,ACH-000695,ACH-000718,ACH-000747,ACH-000766,ACH-000767,ACH-000769,ACH-000781,ACH-000785,ACH-000787,ACH-000790,ACH-000791,ACH-000800,ACH-000837,ACH-000840,ACH-000841,ACH-000843,ACH-000851,ACH-000853,ACH-000858,ACH-000866,ACH-000867,ACH-000869,ACH-000878,ACH-000888,ACH-000890,ACH-000900,ACH-000901,ACH-000912,ACH-000916,ACH-000921,ACH-000924,ACH-000929,ACH-000980,ACH-001075,ACH-000143,ACH-000251,ACH-000337,ACH-000339,ACH-000757,ACH-000872,ACH-000975,ACH-001555,ACH-000029,ACH-000700
ACH-000012,1.0,0.76297062668388,0.7716714003094411,0.8079210126579178,0.7503505578575874,0.7619753022912411,0.7718276878294915,0.72061608071651,0.646794571061408,0.6900555475996495,0.7765122310248912,0.6297033896851797,0.7879579300265435,0.7906229302708715,0.7693425333425611,0.7936243353041539,0.7141977369734378,0.7314779263583131,0.7591681506473088,0.7634663128877399,0.6903723520659314,0.707724455473396,0.7895213163270491,0.6975176859356429,0.7678094182943036,0.8124885521279813,0.7306045596740968,0.7448210146983201,0.7807825950878036,0.7067178052591334,0.7659268927605114,0.7673325134187724,0.7506036679424889,0.7922972806885968,0.7760903968316865,0.7230668614145531,0.8129166435887843,0.7770187277891782,0.7746046446141056,0.7198645615715509,0.7672077071130715,0.7700435888128727,0.7905893997883732,0.708354819178948,0.599264532796135,0.7823277495138433,0.7278431896569931,0.7430644476921778,0.6158325430005233,0.7501047341625828,0.7692203523632911,0.7655537293121366,0.7238399111359375,0.7641833147415594,0.80725582797609,0.7517402909128195,0.7909421863651278,0.7171256054835372,0.7926488295604752,0.6868279280607698,0.7973545756768002,0.682902476315063,0.7514750495244176,0.7457484173059892,0.766186178921502,0.7780840662672137,0.7757444165087708,0.7977509750903822,0.8049331409614031,0.7419542812552125,0.6503890498151395,0.8000343654753994,0.7383342878169997,0.7768357082187503,0.8013880185277387,0.7955556764871897,0.5313590906192047,0.7750549508892497,0.7669766919409147,0.679562474973414,0.8029099124605702,0.7144596816592608,0.7127743825437363,0.662863589457608,0.7028053836008942,0.8171391798170834,0.724617024553721,0.7687619270001427,0.7820169328055298,0.6819423252646276,0.8322072484796721,0.6018016624603839
ACH-000015,0.76297062668388,1.0,0.7686805774519128,0.7995922310256808,0.7333687244375161,0.7544137050618501,0.7623602073055356,0.7110949793254345,0.6430167641276053,0.6840199311951539,0.7823321174140483,0.6086571468143296,0.7917353939596018,0.7603536558695398,0.7701157327277902,0.7830920219939044,0.7489013375296955,0.6976747116157966,0.7534110366807683,0.7568863511594852,0.6767315468636611,0.7065196785989409,0.7808807577912834,0.6797981524793086,0.7522753295073389,0.8085827751406794,0.7274644258802005,0.7463619313354866,0.7673205792312026,0.7170823373078612,0.7603229174838015,0.7453716598300074,0.7349520726030678,0.8097297096511276,0.7611554137526231,0.7113319852670577,0.7905612663253065,0.7681708965790692,0.7649306588542233,0.689145150047183,0.7599619664461666,0.7407075919796098,0.7805960849711501,0.6919983166022342,0.5837550875462149,0.7722037305243719,0.7504605719477675,0.7616836005135726,0.5964964690344591,0.7128632008163478,0.77500690335503,0.7591586998323953,0.7203132674922598,0.7430143848701379,0.7994658350198174,0.7297866433743033,0.7846264819136166,0.7075695812687106,0.7602394762823971,0.666870894202303,0.7780120303318779,0.669616795919992,0.7216059562062624,0.7384384235050102,0.7418992461870939,0.7623353206697151,0.7729856067746178,0.7877574205741333,0.7933727487690913,0.7370450977219192,0.6789072527170583,0.7768729476622782,0.7378450199738227,0.7561103029573899,0.7965195746580302,0.7816955326961864,0.5181196819210045,0.7536916048318592,0.7736266009177112,0.667572608292256,0.8003756783768374,0.714006616639461,0.709620545385663,0.6657988472745833,0.6793279225360855,0.8036075012433483,0.7442602158523405,0.775241189338676,0.7701127468705816,0.6720767938774959,0.7811182710819863,0.6032244351218681
ACH-000021,0.7716714003094411,0.7686805774519128,1.0,0.7825244689213596,0.7343318165633508,0.740222668586863,0.7426923845330061,0.6913423248830146,0.6295770904212458,0.7016096385562337,0.7467934768886589,0.6091214091433117,0.7810260660066468,0.755398493329373,0.7635132063321186,0.7609370531294648,0.7026896283043664,0.7551209194429013,0.7376499658545022,0.7407386433449821,0.6702754196359122,0.6819598158172057,0.7612359085832173,0.6772662264001774,0.7936634661243134,0.7912153752347396,0.7084767820307706,0.736169638888021,0.7568589688963083,0.6902628106088289,0.7502259024402845,0.7186298937432776,0.742748287474088,0.7793955211333634,0.752583125458131,0.7322994655454492,0.7927311946132996,0.7611564562313433,0.7678334631184781,0.6733906745945758,0.755783293103128,0.7642962969857368,0.781198115343165,0.6817854783425632,0.5743214713108642,0.7586424132885284,0.7181403839838171,0.7596846213238062,0.5816117614390096,0.7391593532465097,0.7549478833588056,0.75760712963744,0.6989062966341052,0.7509882616272355,0.8074580793973388,0.7578849799718615,0.7686511936276921,0.7029108243630766,0.8020439005631596,0.6485054037572882,0.8133793160596615,0.6578167231441086,0.7700641248787757,0.7148018821801783,0.7525006728148507,0.7435227442742414,0.740311608044826,0.7697244107403642,0.7882249171796253,0.7401125656061341,0.6540870575700211,0.7649950275438309,0.7473198744455417,0.7743592158002889,0.7934086749106172,0.7687330050454864,0.500611195121979,0.7521757940139389,0.7319924131796137,0.6440628471156734,0.7728165578383999,0.7105220799517026,0.6898295461017347,0.6614103511536227,0.6708710197802024,0.8072722423074755,0.7485002429430287,0.7477551465179633,0.7570113332952345,0.6610809679127988,0.7794478657106072,0.5672148966839692
ACH-000030,0.8079210126579178,0.7995922310256808,0.7825244689213596,1.0,0.7678109650240798,0.7877450334601781,0.801986664322729,0.7069092341916189,0.6460737636276717,0.7026510133593371,0.7895959114273342,0.6318980362799932,0.8281191459115114,0.800617460461212,0.7963318734178504,0.8060122687096134,0.7429282618605836,0.7427677587266115,0.7751456884596731,0.777848185995422,0.7107125699048745,0.72646276956197,0.8028266000462507,0.7206993149410422,0.7884526842314861,0.820732789795184,0.7469257772929692,0.7564976072816236,0.7991843070973873,0.7334514540114528,0.7756035550138959,0.791645489430594,0.7684208339789141,0.821770599702695,0.8038616384517284,0.7403545631235303,0.8339045859066444,0.7881215620045593,0.7892756204806155,0.7163517138674841,0.8052935638656831,0.7738112704486564,0.8140409892127588,0.7268539143660009,0.6059484369561852,0.8161889851526598,0.7638431934883925,0.7737493296076826,0.6294109515281227,0.7563665018831212,0.7909558343910627,0.7848647613704406,0.7252842715926209,0.7968482684631498,0.8296644099787013,0.7585703981149936,0.8199551950319355,0.7254702604041974,0.7995009387358716,0.6807093636288658,0.8114266243134837,0.6937933179526545,0.7534902731521249,0.7804643893809917,0.7718447482315891,0.7915201078527886,0.800639979730687,0.8184533906807211,0.8292287399314449,0.7504220748916082,0.6907947653625942,0.8152595558115606,0.7598289272019086,0.7775757371625863,0.816247214537193,0.8059379529176853,0.5388230720929846,0.7837566197128307,0.7863065052304259,0.6879949906356776,0.8228290931177853,0.743287702805437,0.7328681281201093,0.6881640687134271,0.7002690318621118,0.8368012022847938,0.7276474400811402,0.787392708647144,0.7962197602257503,0.6957419091741115,0.8170859097770647,0.6157746822977749
ACH-000035,0.7503505578575874,0.7333687244375161,0.7343318165633508,0.7678109650240798,1.0,0.7107372355456808,0.7429937477194299,0.6747568996316603,0.6061175685946476,0.6348007810585088,0.7487065506212449,0.6017483851113293,0.749940420755855,0.7446390120148101,0.7210258666327691,0.7476997169897052,0.7022822826409533,0.6820570737142804,0.7274250567968271,0.7466173616749878,0.6487426312751541,0.6705680184241628,0.7451542001071562,0.6455870839728767,0.7251593121257712,0.7703829829803305,0.700191309063089,0.7081328976053973,0.7412823710279985,0.6971601818593532,0.7101365288705199,0.7245329343086797,0.7329190805368029,0.7592183333424594,0.728665747006006,0.7071865095752202,0.7558576382126617,0.7293467199619301,0.7406202623508739,0.6631577176779773,0.7175990424457872,0.7338220564764683,0.7444124268002127,0.6566655804195086,0.5516057281001817,0.7445281430531252,0.6924305161298538,0.7131106209529645,0.5922673852079918,0.6784565837493363,0.7456871617268469,0.7408727182314445,0.6870618961962497,0.7251086501222178,0.7702497590980506,0.7169791995032627,0.7476226027041463,0.6800315892226004,0.7611816209469253,0.6500396339611336,0.7577054336932166,0.6552356064074559,0.7168922839426881,0.7226420490615252,0.7212189955098497,0.7321627760769084,0.7360501475738264,0.7617624282764227,0.7618411995229386,0.718825240268788,0.6159264029496342,0.7393764551957095,0.6988941331322976,0.7222917882990584,0.7447329258242311,0.7554619180502535,0.505423393339566,0.7346982242044275,0.7229489960910712,0.6325160698731846,0.7583979984874919,0.6816218936420558,0.6830092915403426,0.6434056582950285,0.6551616993248437,0.7676943343390122,0.7018211543173792,0.7279236810874057,0.7448002696240982,0.6541438837888458,0.7546770495931283,0.5756574104307911
ACH-000086,0.7619753022912411,0.7544137050618501,0.740222668586863,0.7877450334601781,0.7107372355456808,1.0,0.770349381798057,0.6884173900241063,0.6341472264517046,0.6897533512528207,0.7540088617250846,0.6181710821947582,0.7808432541167795,0.758359332748121,0.7602770809029411,0.7600378742376251,0.6967833396505191,0.6874785591525174,0.7393340975480932,0.765971131354042,0.6934177877899673,0.6990486562873988,0.7526356677719441,0.6682527830580636,0.7276200283494454,0.7903098749742847,0.7148514109500489,0.7131121301963363,0.7423886630413951,0.707529246243744,0.7395718816073299,0.7587318351947515,0.7295030186341234,0.7753169696889662,0.7530534365493022,0.7031433464981959,0.7706191650613489,0.7672814059637351,0.7447400157398278,0.7019591199540269,0.7509249017242088,0.737546934832833,0.7659500451188629,0.6903678060650318,0.5963823171240755,0.7618309740111856,0.721123658708429,0.7215980065507369,0.6059178476091859,0.7055309454983029,0.7656927521715583,0.7405741219096362,0.711599486114129,0.7194886628959011,0.7693792107625047,0.7308756073559228,0.7688712403475813,0.6945025908090874,0.7441408137374467,0.6694002082927651,0.7509825424739527,0.6666338452880669,0.7045831073532789,0.7326001940644917,0.7164160897942632,0.7862603424027867,0.7567740137493997,0.7774908453588371,0.7790842863814647,0.7097125916345743,0.6466984483720375,0.7731255428171769,0.7052835980290818,0.7513194187507443,0.7765820991629134,0.7729037064584988,0.5168607247033756,0.7509292562050278,0.7565289430677551,0.6689748325229227,0.7778721474088881,0.70235672276116,0.6939627026446286,0.6686243520665408,0.6863614504282708,0.77223201112466,0.7048980789303971,0.7430102908857358,0.7684806959862233,0.6626492868327325,0.7758341508819059,0.620182312757215
ACH-000092,0.7718276878294915,0.7623602073055356,0.7426923845330061,0.801986664322729,0.7429937477194299,0.770349381798057,1.0,0.7102139684632095,0.6303882970858469,0.6976988620067602,0.7749837296873029,0.6274843885272978,0.7995093338502061,0.7781848464980078,0.7545718497637748,0.7962161759052047,0.6946436066092215,0.7013215535431906,0.7409774175153985,0.7954814483957454,0.7002435246650256,0.6988838755635594,0.7666346944725524,0.6756268577949576,0.7514570822337894,0.8084547358202658,0.7294024231920857,0.7297040489983425,0.7788086496821836,0.7189487526522601,0.7614749359098868,0.7633044278374634,0.7537676887178831,0.7936388827627492,0.7848532898566619,0.73538778671148,0.7940479597120452,0.7700874394776086,0.7632093380494711,0.7069947056807678,0.771837050261692,0.743381833917673,0.7947799550357236,0.7197307071204347,0.5973080646855916,0.7763142046588486,0.7299214699007294,0.7342619151421534,0.6364120723002379,0.7369709670048057,0.7742260223231264,0.7767469920737937,0.7139073973607006,0.7440182607369238,0.7866387955388503,0.7355048607510483,0.7926944961475477,0.6884641000759282,0.7723688944554554,0.6772066730606474,0.7639225197771405,0.6746117727853431,0.7305830710044947,0.7466515740051205,0.739850401656709,0.7909794108129592,0.7726188689825388,0.7971781606429351,0.8065061922697379,0.7315300360590822,0.6335672317064274,0.790111171447162,0.7372582476055983,0.752878535264313,0.7962589779038552,0.7908660833045886,0.5204695131078823,0.7735887750434877,0.778665862597714,0.6707643908724614,0.800107556527374,0.6998876442806263,0.72026967732219,0.6680539835357043,0.6758856603064884,0.7837822883014559,0.714043550066952,0.7658079628054995,0.7965171852487555,0.68528706783611,0.7899978283535055,0.6149676591002715
ACH-000150,0.72061608071651,0.7110949793254345,0.6913423248830146,0.7069092341916189,0.6747568996316603,0.6884173900241063,0.7102139684632095,1.0,0.5891784358096417,0.6347093692004442,0.7238804057154601,0.5727105438600291,0.7204700152522644,0.715701770109599,0.6860389876346754,0.7351427893248331,0.6818854609369492,0.6442740379827562,0.6955357655634602,0.7193224535359817,0.6093117603723784,0.6646458911208237,0.7003070870274734,0.6448519691899267,0.6880038865405204,0.7389693696736257,0.6718252413526863,0.7016209210587634,0.7153404118409928,0.6598068876113514,0.7026147786563023,0.6716655740686636,0.6899992474405258,0.7167437261860767,0.733399856379543,0.6881733788846113,0.7244238020815753,0.7176965634676119,0.7083386777784952,0.6537650415593894,0.711233264065519,0.6776541623784923,0.7274425270588079,0.6618339215798066,0.5670442333306862,0.700684374644984,0.682071427144157,0.6834140523484481,0.5849813838712073,0.6812075212575393,0.6951816928324306,0.697785206060653,0.6657556306514211,0.6717524583788331,0.730815477189938,0.6823338438677395,0.7200511298752544,0.6512248716560087,0.6867233002869907,0.6328710142351192,0.724612247264369,0.6318778511782747,0.6534192511555259,0.6794178488058997,0.6797351359144274,0.707817438412876,0.7094202104565724,0.725911742152543,0.7402553271598159,0.6702828649407042,0.6075883332621962,0.7334169240223759,0.6627606715580235,0.6912272542662866,0.7685317970381841,0.7300606224384788,0.4951638688616337,0.7182594709071726,0.7212245886560013,0.6325537962045363,0.7411785776652628,0.6548977442565771,0.6653945788745671,0.6275837894845503,0.6455454004626089,0.7277906347557596,0.6304442456792779,0.7033934405466284,0.7291961323069858,0.6271614099806166,0.7273008479408205,0.5825238173482894
ACH-000153,0.646794571061408,0.6430167641276053,0.6295770904212458,0.6460737636276717,0.6061175685946476,0.6341472264517046,0.6303882970858469,0.5891784358096417,1.0,0.5928191229751467,0.6359233103493235,0.5279512646098817,0.6478053014024877,0.6349292945278031,0.6377746141568453,0.6394323991193549,0.6178428731750286,0.6046285605644734,0.624338497183707,0.6212446031415033,0.5778337334896354,0.5743967379040038,0.6337454035168104,0.5683813389077543,0.6371432809100953,0.6421725338618529,0.598231297465813,0.620407501488178,0.6367974402274106,0.582804682221912,0.6273740204056164,0.6299005585888156,0.6302753126510948,0.654718312002596,0.6520042780116402,0.5852308697413938,0.646317467666076,0.6352647061257702,0.636903018140375,0.5725589504410461,0.6213702020651143,0.6271246403830409,0.6527131365996759,0.5791906259137559,0.5034532768818187,0.6260365987171033,0.6174944279131638,0.6275832152646965,0.5110418364548345,0.6001423486458949,0.6279810606984334,0.6258503789062596,0.5922411118661284,0.6246776346852175,0.6564631169137578,0.6187571298935839,0.6459598514327868,0.6280695465346597,0.6381029409832156,0.5470564054426291,0.637274675223097,0.5838694784795901,0.6088469815395432,0.6202673598522855,0.6183777170068624,0.6326074097827947,0.6231221501745642,0.6473593577537038,0.6475790571048019,0.6080085018143502,0.5520063603603143,0.643986626146547,0.6113397759019633,0.6214257062283958,0.6534543038943893,0.6458557673893467,0.4358436278780016,0.6239977274410676,0.6250491837788067,0.5610338016964976,0.6490556774607928,0.6031714715393596,0.5948939785385683,0.5591845156381285,0.5678459176798076,0.6550534507385907,0.6101004420403312,0.6281306940174322,0.6412579849151763,0.5723333576498209,0.6349882400142113,0.49833213516534036
ACH-000187,0.6900555475996495,0.6840199311951539,0.7016096385562337,0.7026510133593371,0.6348007810585088,0.6897533512528207,0.6976988620067602,0.6347093692004442,0.5928191229751467,1.0,0.6859867762578915,0.5991707370967512,0.7194717661513818,0.7033113929190428,0.6847224207639837,0.735655571205873,0.6172047543101776,0.6563758293586749,0.6716403259622152,0.693470366884227,0.6100186135508893,0.6084634385724236,0.6977893383333679,0.614846515296152,0.6935360411949301,0.7241999749764003,0.6539781697441199,0.6753623740689799,0.6992993205443333,0.6344518628150471,0.6840879660240172,0.67954978538802,0.6742306674976575,0.7000467681342158,0.6970205318053183,0.6510487378866265,0.7356594207728023,0.7095185762317714,0.6869563166551685,0.6154570281113094,0.685085052225962,0.6704775897277382,0.730641598699197,0.6557938295463087,0.547504674475552,0.7004984600478081,0.6649020562251517,0.6599755036459848,0.5773213451371126,0.6772524292247619,0.6836843714953985,0.6619442003391858,0.6945358023671304,0.6825538625345382,0.7157109967347767,0.6885725086334317,0.7054936033732991,0.6441295848872431,0.691196366708976,0.6027371936608508,0.6975608304397907,0.6081690691110414,0.6599800211323628,0.6686723849395814,0.6807959869934599,0.6979371262062026,0.6857043442387614,0.7221920089898686,0.7320983377715677,0.6756932088158656,0.5792300112976183,0.7274889081583139,0.6619845530813372,0.6687802047827826,0.7082523660200566,0.687805470164725,0.464450740649117,0.6980362360945745,0.7072109447860375,0.6191647174509749,0.7336511803948127,0.6516945627663463,0.6480749773260914,0.5996750320739743,0.6204736365707867,0.7142170008204177,0.6439063359612354,0.6818107901975481,0.7137922668970984,0.6001533148643099,0.702244541204997,0.5351926264156502
