,ACH-000022,ACH-000042,ACH-000060,ACH-000085,ACH-000108,ACH-000118,ACH-000138,ACH-000178,ACH-000222,ACH-000235,ACH-000243,ACH-000265,ACH-000266,ACH-000281,ACH-000307,ACH-000320,ACH-000332,ACH-000468,ACH-000502,ACH-000517,ACH-000601,ACH-000652,ACH-001353,ACH-001375,ACH-001377,ACH-001380
ACH-000022,1.0,0.7490666794283728,0.7094575241918136,0.679827481001096,0.717926841472297,0.7362903854157042,0.7393764132501625,0.7665857913838141,0.6496884600098639,0.7922031884560337,0.7529384467736122,0.7396091307548622,0.7746365172418858,0.6610140536566586,0.763214355933401,0.6291798507823452,0.7800413942688539,0.7278476575683448,0.7694274936699008,0.7899149131102764,0.7914839637824783,0.7051609541406771,0.7651580342134494,0.7399097140749045,0.7555138026131489,0.7665198559455454
ACH-000042,0.7490666794283728,1.0,0.7509913710070354,0.6843412894083695,0.7924016116081216,0.8049224685639753,0.7831829898178735,0.7793382802300063,0.7155933830454352,0.8382243515932996,0.8054497343520663,0.787955670446039,0.8526691786692359,0.7569566259908261,0.7858804562882836,0.7427170466436059,0.8271736778070671,0.7686490966376001,0.8110340677846676,0.7979571463073251,0.8331259894451958,0.7143006334388563,0.7784268861877995,0.742839724787383,0.7493650002710786,0.7679984718550124
ACH-000060,0.7094575241918136,0.7509913710070354,1.0,0.680510318058745,0.7020322814636282,0.729286445769152,0.7023057567727831,0.7503273285227609,0.6192923196361152,0.7711021106329875,0.7163580626649889,0.7099393023440456,0.7530241505627265,0.6462759771501829,0.7519953004576752,0.6320114042408737,0.7472480848363228,0.6934188297323365,0.7443993963986714,0.777638776294025,0.7534437787268822,0.6783547650591332,0.7572928903611128,0.7229428091917969,0.7067027407558389,0.7610107439124694
ACH-000085,0.679827481001096,0.6843412894083695,0.680510318058745,1.0,0.662198252368233,0.6848121752613656,0.6745360929199183,0.7081221203207054,0.5848463071992046,0.7203240586922527,0.6784873831108954,0.6631573254263459,0.7106718145670786,0.6181307190747148,0.7059956387518815,0.5817895922720807,0.7090394800697305,0.6657056059718731,0.7071043824314,0.7203310130107613,0.7282285797982705,0.6563657869990972,0.7076011913855372,0.6853472528505546,0.685144115737556,0.7044416171424809
ACH-000108,0.717926841472297,0.7924016116081216,0.7020322814636282,0.662198252368233,1.0,0.7897589010334707,0.7961988966093005,0.7611782792163537,0.7186908905401517,0.8170366438178701,0.793511280599849,0.7733360333916313,0.818227669092464,0.7224358824192394,0.7537166633639373,0.7285400772042792,0.8050751867615644,0.7551274409915,0.8040186725259918,0.7708521828665854,0.8196987444852051,0.6966361193829962,0.7532014843677494,0.7147065836016904,0.7325121989778032,0.7624587219957107
ACH-000118,0.7362903854157042,0.8049224685639753,0.729286445769152,0.6848121752613656,0.7897589010334707,1.0,0.807810232921414,0.7872329617848116,0.7219907043703195,0.8405274099195391,0.8384531897863616,0.8245146552747284,0.8306553480349067,0.7148814227235556,0.7793712836577845,0.7480046142079567,0.8250780376235662,0.770819249140541,0.8189741158733752,0.7900206447867147,0.8493735716278691,0.7008683669715157,0.7756764171446598,0.7371044795098954,0.7674458741467611,0.7872452720344788
ACH-000138,0.7393764132501625,0.7831829898178735,0.7023057567727831,0.6745360929199183,0.7961988966093005,0.807810232921414,1.0,0.7708091383439958,0.7194956665702238,0.8428938103025808,0.8133476117208673,0.7886595855783726,0.8355556111045767,0.7407492894520084,0.7663545589885756,0.7267931998445907,0.8343661410826992,0.7809451320030515,0.8161890502643012,0.7939835952458024,0.8299549568788056,0.7073988701032362,0.7735197862408634,0.7323211324715049,0.7639606525222209,0.7826733714013749
ACH-000178,0.7665857913838141,0.7793382802300063,0.7503273285227609,0.7081221203207054,0.7611782792163537,0.7872329617848116,0.7708091383439958,1.0,0.6804471937242015,0.8270316155947619,0.7921135274278033,0.7685903487535841,0.8157546155837366,0.6958815962586306,0.7943109565818888,0.6773248442127611,0.8132482536640644,0.7563389318654667,0.8114613365723995,0.8203221821755389,0.8398477290581735,0.7257937436378947,0.793858572113826,0.7587232569385532,0.7782201806323412,0.7990468895474465
ACH-000222,0.6496884600098639,0.7155933830454352,0.6192923196361152,0.5848463071992046,0.7186908905401517,0.7219907043703195,0.7194956665702238,0.6804471937242015,1.0,0.7374107845495061,0.7425896579590312,0.7032362604298925,0.7481941258604801,0.6771883732214146,0.6727466359606559,0.6973412803828236,0.7381868866190678,0.6839130961453559,0.7362752654456931,0.6819925528594034,0.7360948509572257,0.6222430614645799,0.6753760026553222,0.6400423665350946,0.6693709893097605,0.6650203577819535
ACH-000235,0.7922031884560337,0.8382243515932996,0.7711021106329875,0.7203240586922527,0.8170366438178701,0.8405274099195391,0.8428938103025808,0.8270316155947619,0.7374107845495061,1.0,0.8514842076285635,0.8276848606429885,0.8896624117412886,0.7548626286866819,0.8293710124240977,0.7519278713461028,0.8729988589532671,0.8080812079491123,0.8530505876597497,0.8527114893754091,0.873159806601247,0.7468599866393206,0.8362294312766286,0.7812125932360087,0.8128219120380779,0.8346402027559349
ACH-000243,0.7529384467736122,0.8054497343520663,0.7163580626649889,0.6784873831108954,0.793511280599849,0.8384531897863616,0.8133476117208673,0.7921135274278033,0.7425896579590312,0.8514842076285635,1.0,0.8412718370136557,0.8512624909918376,0.7284841512834929,0.7925516656430929,0.7779477417356214,0.8605359581313001,0.77674510691454,0.8337631968200061,0.7985598455638909,0.8654631827627844,0.6990858962367995,0.783245135953104,0.7315037590234541,0.7783983734089965,0.7857272783795254
ACH-000265,0.7396091307548622,0.787955670446039,0.7099393023440456,0.6631573254263459,0.7733360333916313,0.8245146552747284,0.7886595855783726,0.7685903487535841,0.7032362604298925,0.8276848606429885,0.8412718370136557,1.0,0.8146196403763992,0.7002843807754895,0.7742400882189793,0.741718839232609,0.8227530403314948,0.7702495204752563,0.7993585794943391,0.7870742996576887,0.839676011375103,0.6902589822985612,0.7572115718594095,0.7139370454782865,0.7586017246665104,0.779754195695795
ACH-000266,0.7746365172418858,0.8526691786692359,0.7530241505627265,0.7106718145670786,0.818227669092464,0.8306553480349067,0.8355556111045767,0.8157546155837366,0.7481941258604801,0.8896624117412886,0.8512624909918376,0.8146196403763992,1.0,0.7775988827819539,0.8050688430921719,0.7671335214599627,0.8839208973619054,0.8062569292420415,0.8536700097446638,0.8506357560176003,0.8794023956304065,0.7272555431177155,0.8180196585558176,0.7757819085140697,0.8026067133045759,0.8198645671073707
ACH-000281,0.6610140536566586,0.7569566259908261,0.6462759771501829,0.6181307190747148,0.7224358824192394,0.7148814227235556,0.7407492894520084,0.6958815962586306,0.6771883732214146,0.7548626286866819,0.7284841512834929,0.7002843807754895,0.7775988827819539,1.0,0.7100931095943303,0.7021299504638528,0.7466353254239176,0.7328107629823304,0.730897797711424,0.7077591374384854,0.7434289052223909,0.6503111816707635,0.6789198200922729,0.6549377368204823,0.681487758686257,0.6916715824899567
ACH-000307,0.763214355933401,0.7858804562882836,0.7519953004576752,0.7059956387518815,0.7537166633639373,0.7793712836577845,0.7663545589885756,0.7943109565818888,0.6727466359606559,0.8293710124240977,0.7925516656430929,0.7742400882189793,0.8050688430921719,0.7100931095943303,1.0,0.6876528237157553,0.8042496607232119,0.7511944404577927,0.7911046303822032,0.8059058477246333,0.8184445289010559,0.7314178814186968,0.7852505774486812,0.7539515834982454,0.7629558678415264,0.7965241324282379
ACH-000320,0.6291798507823452,0.7427170466436059,0.6320114042408737,0.5817895922720807,0.7285400772042792,0.7480046142079567,0.7267931998445907,0.6773248442127611,0.6973412803828236,0.7519278713461028,0.7779477417356214,0.741718839232609,0.7671335214599627,0.7021299504638528,0.6876528237157553,1.0,0.7558535974125973,0.6980366450871778,0.7376060705240829,0.6872997687809796,0.7588461893288524,0.6147758120441046,0.6665589120415761,0.626565625958996,0.669773903064711,0.6811748701007468
ACH-000332,0.7800413942688539,0.8271736778070671,0.7472480848363228,0.7090394800697305,0.8050751867615644,0.8250780376235662,0.8343661410826992,0.8132482536640644,0.7381868866190678,0.8729988589532671,0.8605359581313001,0.8227530403314948,0.8839208973619054,0.7466353254239176,0.8042496607232119,0.7558535974125973,1.0,0.7841986634891241,0.844287406364074,0.8463336950176717,0.87204223475339,0.7262770667065092,0.818014630036009,0.7662037836365654,0.8030511619144864,0.8106233819979053
ACH-000468,0.7278476575683448,0.7686490966376001,0.6934188297323365,0.6657056059718731,0.7551274409915,0.770819249140541,0.7809451320030515,0.7563389318654667,0.6839130961453559,0.8080812079491123,0.77674510691454,0.7702495204752563,0.8062569292420415,0.7328107629823304,0.7511944404577927,0.6980366450871778,0.7841986634891241,1.0,0.7891908364278339,0.79477208274168,0.8049153497829103,0.6978454349849923,0.7509715597647191,0.7196614657891081,0.7412515194149492,0.7479102536115134
ACH-000502,0.7694274936699008,0.8110340677846676,0.7443993963986714,0.7071043824314,0.8040186725259918,0.8189741158733752,0.8161890502643012,0.8114613365723995,0.7362752654456931,0.8530505876597497,0.8337631968200061,0.7993585794943391,0.8536700097446638,0.730897797711424,0.7911046303822032,0.7376060705240829,0.844287406364074,0.7891908364278339,1.0,0.832586219970214,0.8710136009683108,0.7179873322073049,0.8034415757709168,0.7672240229176115,0.7884322044827387,0.7938225885565686
