,x,y,measure
0,ACH-000042,ACH-000022,0.7490666794283728
1,ACH-000060,ACH-000022,0.7094575241918136
2,ACH-000060,ACH-000042,0.7509913710070354
3,ACH-000085,ACH-000022,0.679827481001096
4,ACH-000085,ACH-000042,0.6843412894083695
5,ACH-000085,ACH-000060,0.680510318058745
6,ACH-000108,ACH-000022,0.717926841472297
7,ACH-000108,ACH-000042,0.7924016116081216
8,ACH-000108,ACH-000060,0.7020322814636282
9,ACH-000108,ACH-000085,0.6621982523682329
10,ACH-000118,ACH-000022,0.7362903854157042
11,ACH-000118,ACH-000042,0.8049224685639753
12,ACH-000118,ACH-000060,0.729286445769152
13,ACH-000118,ACH-000085,0.6848121752613656
14,ACH-000118,ACH-000108,0.7897589010334707
15,ACH-000138,ACH-000022,0.7393764132501625
16,ACH-000138,ACH-000042,0.7831829898178735
17,ACH-000138,ACH-000060,0.7023057567727831
18,ACH-000138,ACH-000085,0.6745360929199183
19,ACH-000138,ACH-000108,0.7961988966093005
20,ACH-000138,ACH-000118,0.8078102329214141
21,ACH-000178,ACH-000022,0.7665857913838141
22,ACH-000178,ACH-000042,0.7793382802300063
23,ACH-000178,ACH-000060,0.7503273285227609
24,ACH-000178,ACH-000085,0.7081221203207054
25,ACH-000178,ACH-000108,0.7611782792163537
26,ACH-000178,ACH-000118,0.7872329617848116
27,ACH-000178,ACH-000138,0.7708091383439958
28,ACH-000222,ACH-000022,0.6496884600098639
29,ACH-000222,ACH-000042,0.7155933830454352
30,ACH-000222,ACH-000060,0.6192923196361152
31,ACH-000222,ACH-000085,0.5848463071992046
32,ACH-000222,ACH-000108,0.7186908905401517
33,ACH-000222,ACH-000118,0.7219907043703195
34,ACH-000222,ACH-000138,0.7194956665702238
35,ACH-000222,ACH-000178,0.6804471937242015
36,ACH-000235,ACH-000022,0.7922031884560337
37,ACH-000235,ACH-000042,0.8382243515932996
38,ACH-000235,ACH-000060,0.7711021106329875
39,ACH-000235,ACH-000085,0.7203240586922527
40,ACH-000235,ACH-000108,0.8170366438178701
41,ACH-000235,ACH-000118,0.8405274099195391
42,ACH-000235,ACH-000138,0.8428938103025808
43,ACH-000235,ACH-000178,0.8270316155947619
44,ACH-000235,ACH-000222,0.7374107845495061
45,ACH-000243,ACH-000022,0.7529384467736122
46,ACH-000243,ACH-000042,0.8054497343520663
47,ACH-000243,ACH-000060,0.7163580626649889
48,ACH-000243,ACH-000085,0.6784873831108954
49,ACH-000243,ACH-000108,0.7935112805998491
50,ACH-000243,ACH-000118,0.8384531897863616
51,ACH-000243,ACH-000138,0.8133476117208673
52,ACH-000243,ACH-000178,0.7921135274278033
53,ACH-000243,ACH-000222,0.7425896579590312
54,ACH-000243,ACH-000235,0.8514842076285635
55,ACH-000265,ACH-000022,0.7396091307548622
56,ACH-000265,ACH-000042,0.787955670446039
57,ACH-000265,ACH-000060,0.7099393023440456
58,ACH-000265,ACH-000085,0.6631573254263459
59,ACH-000265,ACH-000108,0.7733360333916313
60,ACH-000265,ACH-000118,0.8245146552747284
61,ACH-000265,ACH-000138,0.7886595855783726
62,ACH-000265,ACH-000178,0.7685903487535841
63,ACH-000265,ACH-000222,0.7032362604298925
64,ACH-000265,ACH-000235,0.8276848606429885
65,ACH-000265,ACH-000243,0.8412718370136557
66,ACH-000266,ACH-000022,0.7746365172418858
67,ACH-000266,ACH-000042,0.8526691786692359
68,ACH-000266,ACH-000060,0.7530241505627265
69,ACH-000266,ACH-000085,0.7106718145670786
70,ACH-000266,ACH-000108,0.8182276690924641
71,ACH-000266,ACH-000118,0.8306553480349067
72,ACH-000266,ACH-000138,0.8355556111045767
73,ACH-000266,ACH-000178,0.8157546155837366
74,ACH-000266,ACH-000222,0.7481941258604801
75,ACH-000266,ACH-000235,0.8896624117412886
76,ACH-000266,ACH-000243,0.8512624909918376
77,ACH-000266,ACH-000265,0.8146196403763992
78,ACH-000281,ACH-000022,0.6610140536566586
79,ACH-000281,ACH-000042,0.7569566259908261
80,ACH-000281,ACH-000060,0.6462759771501829
81,ACH-000281,ACH-000085,0.6181307190747148
82,ACH-000281,ACH-000108,0.7224358824192394
83,ACH-000281,ACH-000118,0.7148814227235556
84,ACH-000281,ACH-000138,0.7407492894520084
85,ACH-000281,ACH-000178,0.6958815962586306
86,ACH-000281,ACH-000222,0.6771883732214146
87,ACH-000281,ACH-000235,0.7548626286866819
88,ACH-000281,ACH-000243,0.7284841512834929
89,ACH-000281,ACH-000265,0.7002843807754895
90,ACH-000281,ACH-000266,0.7775988827819539
91,ACH-000307,ACH-000022,0.7632143559334008
92,ACH-000307,ACH-000042,0.7858804562882836
93,ACH-000307,ACH-000060,0.7519953004576752
94,ACH-000307,ACH-000085,0.7059956387518815
95,ACH-000307,ACH-000108,0.7537166633639373
96,ACH-000307,ACH-000118,0.7793712836577845
97,ACH-000307,ACH-000138,0.7663545589885756
98,ACH-000307,ACH-000178,0.7943109565818888
99,ACH-000307,ACH-000222,0.6727466359606559
100,ACH-000307,ACH-000235,0.8293710124240977
101,ACH-000307,ACH-000243,0.7925516656430929
102,ACH-000307,ACH-000265,0.7742400882189793
103,ACH-000307,ACH-000266,0.8050688430921719
104,ACH-000307,ACH-000281,0.7100931095943303
105,ACH-000320,ACH-000022,0.6291798507823452
106,ACH-000320,ACH-000042,0.7427170466436059
107,ACH-000320,ACH-000060,0.6320114042408737
108,ACH-000320,ACH-000085,0.5817895922720807
109,ACH-000320,ACH-000108,0.7285400772042792
110,ACH-000320,ACH-000118,0.7480046142079567
111,ACH-000320,ACH-000138,0.7267931998445907
112,ACH-000320,ACH-000178,0.6773248442127611
113,ACH-000320,ACH-000222,0.6973412803828236
114,ACH-000320,ACH-000235,0.7519278713461028
115,ACH-000320,ACH-000243,0.7779477417356214
116,ACH-000320,ACH-000265,0.741718839232609
117,ACH-000320,ACH-000266,0.7671335214599627
118,ACH-000320,ACH-000281,0.7021299504638528
119,ACH-000320,ACH-000307,0.6876528237157553
120,ACH-000332,ACH-000022,0.7800413942688539
121,ACH-000332,ACH-000042,0.8271736778070671
122,ACH-000332,ACH-000060,0.7472480848363228
123,ACH-000332,ACH-000085,0.7090394800697305
124,ACH-000332,ACH-000108,0.8050751867615644
125,ACH-000332,ACH-000118,0.8250780376235662
126,ACH-000332,ACH-000138,0.8343661410826992
127,ACH-000332,ACH-000178,0.8132482536640644
128,ACH-000332,ACH-000222,0.7381868866190678
129,ACH-000332,ACH-000235,0.8729988589532671
130,ACH-000332,ACH-000243,0.8605359581313001
131,ACH-000332,ACH-000265,0.8227530403314948
132,ACH-000332,ACH-000266,0.8839208973619054
133,ACH-000332,ACH-000281,0.7466353254239176
134,ACH-000332,ACH-000307,0.8042496607232119
135,ACH-000332,ACH-000320,0.7558535974125973
136,ACH-000468,ACH-000022,0.7278476575683448
137,ACH-000468,ACH-000042,0.7686490966376001
138,ACH-000468,ACH-000060,0.6934188297323365
139,ACH-000468,ACH-000085,0.6657056059718731
140,ACH-000468,ACH-000108,0.7551274409915
141,ACH-000468,ACH-000118,0.770819249140541
142,ACH-000468,ACH-000138,0.7809451320030515
143,ACH-000468,ACH-000178,0.7563389318654667
144,ACH-000468,ACH-000222,0.6839130961453559
145,ACH-000468,ACH-000235,0.8080812079491123
146,ACH-000468,ACH-000243,0.7767451069145401
147,ACH-000468,ACH-000265,0.7702495204752563
148,ACH-000468,ACH-000266,0.8062569292420415
149,ACH-000468,ACH-000281,0.7328107629823304
150,ACH-000468,ACH-000307,0.7511944404577927
151,ACH-000468,ACH-000320,0.6980366450871778
152,ACH-000468,ACH-000332,0.7841986634891241
153,ACH-000502,ACH-000022,0.7694274936699008
154,ACH-000502,ACH-000042,0.8110340677846676
155,ACH-000502,ACH-000060,0.7443993963986714
156,ACH-000502,ACH-000085,0.7071043824314
157,ACH-000502,ACH-000108,0.8040186725259918
158,ACH-000502,ACH-000118,0.8189741158733752
159,ACH-000502,ACH-000138,0.8161890502643012
160,ACH-000502,ACH-000178,0.8114613365723995
161,ACH-000502,ACH-000222,0.7362752654456931
162,ACH-000502,ACH-000235,0.8530505876597497
163,ACH-000502,ACH-000243,0.8337631968200061
164,ACH-000502,ACH-000265,0.7993585794943391
165,ACH-000502,ACH-000266,0.8536700097446638
