source,target,JaccSim
ACH-000030,ACH-000624,0.36661698956780925
ACH-000030,ACH-000711,0.3758439609902476
ACH-000042,ACH-000266,0.35650887573964496
ACH-000053,ACH-000406,0.35751295336787564
ACH-000095,ACH-000624,0.35450516986706054
ACH-000118,ACH-000781,0.35350553505535054
ACH-000127,ACH-000250,0.35350553505535054
ACH-000127,ACH-000416,0.37894736842105264
ACH-000127,ACH-000472,0.35051546391752575
ACH-000127,ACH-000624,0.35952557449962935
ACH-000127,ACH-000711,0.38310708898944196
ACH-000127,ACH-000788,0.3525073746312684
ACH-000127,ACH-000943,0.35550628233555065
ACH-000127,ACH-001173,0.35650887573964496
ACH-000148,ACH-000947,0.44637223974763407
ACH-000160,ACH-000836,0.395738203957382
ACH-000160,ACH-000939,0.40321346595256313
ACH-000160,ACH-001550,0.6073619631901841
ACH-000211,ACH-000416,0.35450516986706054
ACH-000215,ACH-000788,0.35151068533529845
ACH-000232,ACH-001173,0.35350553505535054
ACH-000235,ACH-000243,0.37070254110612855
ACH-000235,ACH-000259,0.35751295336787564
ACH-000235,ACH-000266,0.41403238242097146
ACH-000235,ACH-000332,0.3851963746223565
ACH-000235,ACH-000339,0.35151068533529845
ACH-000235,ACH-000383,0.3525073746312684
ACH-000235,ACH-000406,0.3727544910179641
ACH-000235,ACH-000416,0.3727544910179641
ACH-000235,ACH-000472,0.35350553505535054
ACH-000235,ACH-000601,0.3862433862433862
ACH-000235,ACH-000649,0.35952557449962935
ACH-000235,ACH-000657,0.35350553505535054
ACH-000235,ACH-000711,0.3925588458618071
ACH-000235,ACH-000721,0.35151068533529845
ACH-000235,ACH-000753,0.35751295336787564
ACH-000235,ACH-000781,0.41185527328714394
ACH-000235,ACH-000788,0.3768768768768769
ACH-000235,ACH-000906,0.36661698956780925
ACH-000235,ACH-000980,0.3525073746312684
ACH-000235,ACH-001028,0.35550628233555065
ACH-000235,ACH-001173,0.3585185185185185
ACH-000235,ACH-001329,0.3525073746312684
ACH-000243,ACH-000266,0.35952557449962935
ACH-000243,ACH-000332,0.3799849510910459
ACH-000243,ACH-000601,0.3799849510910459
ACH-000243,ACH-000781,0.3686567164179104
ACH-000250,ACH-000416,0.3615441722345954
ACH-000250,ACH-000475,0.3768768768768769
ACH-000250,ACH-000624,0.35450516986706054
ACH-000250,ACH-000649,0.35151068533529845
ACH-000250,ACH-000711,0.3768768768768769
ACH-000250,ACH-000788,0.35350553505535054
ACH-000250,ACH-000867,0.35051546391752575
ACH-000259,ACH-000601,0.37070254110612855
ACH-000259,ACH-000781,0.3748125937031484
ACH-000260,ACH-000601,0.35751295336787564
ACH-000260,ACH-000624,0.35751295336787564
ACH-000260,ACH-000781,0.35151068533529845
ACH-000260,ACH-000788,0.36661698956780925
ACH-000260,ACH-000906,0.35350553505535054
ACH-000266,ACH-000332,0.41403238242097146
ACH-000266,ACH-000406,0.37070254110612855
ACH-000266,ACH-000416,0.35550628233555065
ACH-000266,ACH-000502,0.35450516986706054
ACH-000266,ACH-000601,0.3915022761760243
ACH-000266,ACH-000781,0.38206480783722685
ACH-000290,ACH-000416,0.35051546391752575
ACH-000290,ACH-000475,0.35550628233555065
ACH-000290,ACH-000601,0.35051546391752575
ACH-000290,ACH-000624,0.35450516986706054
ACH-000290,ACH-000711,0.36053412462908013
ACH-000290,ACH-000788,0.3645833333333333
ACH-000290,ACH-000867,0.3768768768768769
ACH-000290,ACH-000980,0.35051546391752575
ACH-000290,ACH-001028,0.3686567164179104
ACH-000290,ACH-001295,0.35952557449962935
ACH-000308,ACH-000416,0.35051546391752575
ACH-000308,ACH-000472,0.3655994043186895
ACH-000308,ACH-000601,0.35550628233555065
ACH-000308,ACH-000693,0.35151068533529845
ACH-000308,ACH-000711,0.38310708898944196
ACH-000308,ACH-001956,0.35550628233555065
ACH-000332,ACH-000406,0.3635687732342007
ACH-000332,ACH-000416,0.35751295336787564
ACH-000332,ACH-000502,0.35952557449962935
ACH-000332,ACH-000527,0.35550628233555065
ACH-000332,ACH-000601,0.40428790199081166
ACH-000332,ACH-000624,0.36661698956780925
ACH-000332,ACH-000781,0.40860215053763443
ACH-000332,ACH-000788,0.362555720653789
ACH-000332,ACH-000867,0.35650887573964496
ACH-000339,ACH-000601,0.35751295336787564
ACH-000339,ACH-000624,0.35952557449962935
ACH-000339,ACH-000711,0.3655994043186895
ACH-000365,ACH-000914,0.35151068533529845
ACH-000383,ACH-000624,0.3585185185185185
ACH-000383,ACH-000711,0.35650887573964496
ACH-000406,ACH-000416,0.3635687732342007
ACH-000406,ACH-000528,0.36053412462908013
ACH-000406,ACH-000601,0.38206480783722685
ACH-000406,ACH-000649,0.35952557449962935
ACH-000406,ACH-000657,0.35450516986706054
ACH-000406,ACH-000693,0.35952557449962935
ACH-000406,ACH-000711,0.3615441722345954
ACH-000406,ACH-000753,0.3525073746312684
ACH-000406,ACH-000770,0.3799849510910459
ACH-000406,ACH-000781,0.38310708898944196
ACH-000406,ACH-000788,0.3645833333333333
ACH-000406,ACH-000906,0.3768768768768769
ACH-000406,ACH-000914,0.3655994043186895
ACH-000406,ACH-000980,0.3779113448534936
ACH-000406,ACH-001028,0.36661698956780925
ACH-000416,ACH-000472,0.3779113448534936
ACH-000416,ACH-000475,0.3717277486910995
ACH-000416,ACH-000527,0.3525073746312684
ACH-000416,ACH-000528,0.3525073746312684
ACH-000416,ACH-000601,0.3925588458618071
ACH-000416,ACH-000624,0.3727544910179641
ACH-000416,ACH-000639,0.35151068533529845
ACH-000416,ACH-000693,0.3655994043186895
ACH-000416,ACH-000711,0.40644171779141103
ACH-000416,ACH-000781,0.37070254110612855
ACH-000416,ACH-000788,0.3904473085670963
ACH-000416,ACH-000827,0.35350553505535054
ACH-000416,ACH-000867,0.3810240963855422
ACH-000416,ACH-000887,0.3585185185185185
ACH-000416,ACH-000888,0.35550628233555065
ACH-000416,ACH-000906,0.35952557449962935
ACH-000416,ACH-000943,0.3686567164179104
ACH-000416,ACH-000947,0.3585185185185185
ACH-000416,ACH-000973,0.35952557449962935
ACH-000416,ACH-000980,0.38206480783722685
ACH-000416,ACH-001028,0.3748125937031484
ACH-000416,ACH-001151,0.3779113448534936
ACH-000416,ACH-001173,0.3585185185185185
ACH-000416,ACH-001329,0.35952557449962935
ACH-000416,ACH-001368,0.362555720653789
ACH-000421,ACH-000624,0.35550628233555065
ACH-000421,ACH-000711,0.3615441722345954
ACH-000421,ACH-000788,0.3585185185185185
ACH-000421,ACH-000867,0.35350553505535054
ACH-000472,ACH-000624,0.3727544910179641
ACH-000472,ACH-000711,0.3904473085670963
ACH-000472,ACH-000788,0.3768768768768769
ACH-000472,ACH-000827,0.35751295336787564
ACH-000472,ACH-000867,0.38206480783722685
ACH-000472,ACH-000980,0.35650887573964496
ACH-000472,ACH-001173,0.35051546391752575
ACH-000475,ACH-000624,0.3645833333333333
ACH-000475,ACH-000649,0.3615441722345954
ACH-000475,ACH-000711,0.4
ACH-000475,ACH-000788,0.3696788648244959
ACH-000475,ACH-000827,0.35051546391752575
ACH-000475,ACH-000867,0.3696788648244959
ACH-000475,ACH-000906,0.3525073746312684
ACH-000475,ACH-000980,0.35051546391752575
ACH-000475,ACH-001173,0.3525073746312684
ACH-000475,ACH-001329,0.3525073746312684
ACH-000502,ACH-000601,0.3748125937031484
ACH-000517,ACH-000524,0.35051546391752575
ACH-000517,ACH-000528,0.3525073746312684
ACH-000517,ACH-000624,0.3727544910179641
ACH-000517,ACH-000657,0.35051546391752575
ACH-000517,ACH-000696,0.3686567164179104
ACH-000517,ACH-000711,0.3758439609902476
ACH-000517,ACH-000788,0.3585185185185185
ACH-000517,ACH-000867,0.38729198184568836
ACH-000517,ACH-000906,0.3585185185185185
ACH-000517,ACH-001173,0.3645833333333333
ACH-000524,ACH-000624,0.36661698956780925
ACH-000527,ACH-000601,0.36763609246830725
ACH-000527,ACH-000624,0.36053412462908013
ACH-000527,ACH-000693,0.36053412462908013
ACH-000527,ACH-000711,0.3696788648244959
ACH-000527,ACH-000781,0.35751295336787564
ACH-000527,ACH-000788,0.3635687732342007
ACH-000527,ACH-000867,0.3615441722345954
ACH-000527,ACH-000943,0.3585185185185185
ACH-000527,ACH-000980,0.35350553505535054
