name	louvain
ACH-000012	1
ACH-000013	2
ACH-000015	1
ACH-000021	1
ACH-000022	4
ACH-000029	2
ACH-000030	2
ACH-000042	1
ACH-000047	1
ACH-000053	1
ACH-000054	4
ACH-000092	4
ACH-000095	1
ACH-000097	1
ACH-000098	4
ACH-000099	1
ACH-000108	1
ACH-000113	4
ACH-000116	4
ACH-000118	1
ACH-000123	1
ACH-000127	2
ACH-000138	1
ACH-000146	1
ACH-000148	2
ACH-000152	4
ACH-000159	4
ACH-000160	3
ACH-000169	4
ACH-000178	4
ACH-000182	4
ACH-000190	3
ACH-000198	1
ACH-000211	2
ACH-000215	4
ACH-000217	4
ACH-000223	4
ACH-000231	2
ACH-000232	4
ACH-000233	4
ACH-000235	1
ACH-000237	4
ACH-000243	1
ACH-000250	4
ACH-000253	4
ACH-000255	4
ACH-000259	1
ACH-000260	1
ACH-000261	4
ACH-000264	2
ACH-000265	1
ACH-000266	1
ACH-000273	4
ACH-000274	4
ACH-000279	4
ACH-000288	1
ACH-000290	2
ACH-000291	4
ACH-000302	2
ACH-000307	4
ACH-000308	2
ACH-000312	1
ACH-000324	1
ACH-000331	4
ACH-000332	1
ACH-000339	1
ACH-000348	4
ACH-000352	4
ACH-000362	1
ACH-000365	2
ACH-000366	1
ACH-000376	1
ACH-000383	2
ACH-000387	1
ACH-000390	4
ACH-000393	4
ACH-000397	4
ACH-000403	2
ACH-000406	1
ACH-000410	1
ACH-000414	1
ACH-000415	4
ACH-000416	4
ACH-000421	2
ACH-000425	4
ACH-000437	4
ACH-000448	1
ACH-000452	1
ACH-000460	1
ACH-000463	4
ACH-000471	4
ACH-000472	4
ACH-000475	2
ACH-000478	4
ACH-000481	4
ACH-000486	2
ACH-000488	4
ACH-000502	1
ACH-000505	2
ACH-000507	4
ACH-000510	2
ACH-000511	4
ACH-000517	4
ACH-000522	4
ACH-000524	1
ACH-000527	2
ACH-000528	1
ACH-000542	2
ACH-000552	4
ACH-000556	4
ACH-000571	4
ACH-000573	1
ACH-000584	2
ACH-000585	4
ACH-000589	1
ACH-000601	1
ACH-000606	4
ACH-000608	4
ACH-000616	4
ACH-000618	4
ACH-000620	4
ACH-000621	4
ACH-000623	4
ACH-000624	4
ACH-000630	2
ACH-000632	4
ACH-000633	1
ACH-000638	1
ACH-000639	2
ACH-000647	4
ACH-000649	4
ACH-000651	2
ACH-000655	4
ACH-000657	2
ACH-000665	4
ACH-000673	4
ACH-000676	4
ACH-000681	1
ACH-000682	4
ACH-000683	4
ACH-000693	2
ACH-000694	2
ACH-000696	4
ACH-000699	2
ACH-000706	4
ACH-000711	4
ACH-000720	4
ACH-000721	2
ACH-000734	1
ACH-000735	4
ACH-000738	4
ACH-000753	2
ACH-000760	4
ACH-000770	1
ACH-000771	4
ACH-000781	1
ACH-000784	2
ACH-000785	1
ACH-000787	1
ACH-000788	4
ACH-000791	1
ACH-000792	4
ACH-000793	2
ACH-000794	4
ACH-000796	1
ACH-000802	1
ACH-000809	4
ACH-000811	2
ACH-000819	4
ACH-000823	4
ACH-000824	2
ACH-000827	2
ACH-000831	4
ACH-000835	2
ACH-000836	3
ACH-000837	1
ACH-000853	4
ACH-000858	4
ACH-000865	4
ACH-000866	2
ACH-000867	4
ACH-000872	4
ACH-000881	4
ACH-000882	4
ACH-000884	4
ACH-000887	4
ACH-000888	2
ACH-000889	4
ACH-000896	2
ACH-000900	1
ACH-000901	1
ACH-000905	4
ACH-000906	1
ACH-000910	4
ACH-000911	2
ACH-000912	1
ACH-000913	1
ACH-000914	2
ACH-000921	4
ACH-000924	4
ACH-000932	4
ACH-000937	2
ACH-000939	3
ACH-000943	2
ACH-000946	4
ACH-000947	2
ACH-000948	4
ACH-000953	2
ACH-000960	4
ACH-000965	4
ACH-000973	2
ACH-000974	2
ACH-000975	4
ACH-000980	2
ACH-000984	4
ACH-001001	2
ACH-001020	3
ACH-001028	4
ACH-001038	2
ACH-001048	4
ACH-001050	4
ACH-001061	4
ACH-001151	2
ACH-001173	4
ACH-001295	2
ACH-001328	4
ACH-001329	2
ACH-001336	4
ACH-001340	2
ACH-001346	4
ACH-001353	4
ACH-001368	2
ACH-001377	1
ACH-001380	2
ACH-001407	4
ACH-001412	2
ACH-001523	4
ACH-001524	4
ACH-001532	2
ACH-001550	3
ACH-001554	2
ACH-001650	2
ACH-001654	4
ACH-001735	2
ACH-001736	2
ACH-001765	2
ACH-001956	2
ACH-001957	4
